"player","round","hole","strokes","par","score"
"Tedeski, Leilani",1,1,5,5,0
"Tedeski, Leilani",1,2,5,4,1
"Tedeski, Leilani",1,3,4,3,1
"Tedeski, Leilani",1,4,3,4,-1
"Tedeski, Leilani",1,5,4,4,0
"Tedeski, Leilani",1,6,4,4,0
"Tedeski, Leilani",1,7,2,3,-1
"Tedeski, Leilani",1,8,3,4,-1
"Tedeski, Leilani",1,9,3,5,-2
"Tedeski, Leilani",1,10,4,4,0
"Tedeski, Leilani",1,11,3,4,-1
"Tedeski, Leilani",1,12,2,3,-1
"Tedeski, Leilani",1,13,4,4,0
"Tedeski, Leilani",1,14,3,5,-2
"Tedeski, Leilani",1,15,3,4,-1
"Tedeski, Leilani",1,16,4,4,0
"Tedeski, Leilani",1,17,4,5,-1
"Tedeski, Leilani",1,18,4,3,1
"Hewins, Jessica",1,1,4,5,-1
"Hewins, Jessica",1,2,4,4,0
"Hewins, Jessica",1,3,8,3,5
"Hewins, Jessica",1,4,4,4,0
"Hewins, Jessica",1,5,4,4,0
"Hewins, Jessica",1,6,4,4,0
"Hewins, Jessica",1,7,2,3,-1
"Hewins, Jessica",1,8,3,4,-1
"Hewins, Jessica",1,9,4,5,-1
"Hewins, Jessica",1,10,3,4,-1
"Hewins, Jessica",1,11,3,4,-1
"Hewins, Jessica",1,12,3,3,0
"Hewins, Jessica",1,13,3,4,-1
"Hewins, Jessica",1,14,4,5,-1
"Hewins, Jessica",1,15,4,4,0
"Hewins, Jessica",1,16,4,4,0
"Hewins, Jessica",1,17,4,5,-1
"Hewins, Jessica",1,18,2,3,-1
"Reid, Jo",1,1,4,5,-1
"Reid, Jo",1,2,5,4,1
"Reid, Jo",1,3,3,3,0
"Reid, Jo",1,4,4,4,0
"Reid, Jo",1,5,3,4,-1
"Reid, Jo",1,6,4,4,0
"Reid, Jo",1,7,2,3,-1
"Reid, Jo",1,8,4,4,0
"Reid, Jo",1,9,3,5,-2
"Reid, Jo",1,10,3,4,-1
"Reid, Jo",1,11,4,4,0
"Reid, Jo",1,12,3,3,0
"Reid, Jo",1,13,3,4,-1
"Reid, Jo",1,14,6,5,1
"Reid, Jo",1,15,4,4,0
"Reid, Jo",1,16,3,4,-1
"Reid, Jo",1,17,5,5,0
"Reid, Jo",1,18,2,3,-1
"Lipori, Dawn",1,1,5,5,0
"Lipori, Dawn",1,2,5,4,1
"Lipori, Dawn",1,3,4,3,1
"Lipori, Dawn",1,4,5,4,1
"Lipori, Dawn",1,5,7,4,3
"Lipori, Dawn",1,6,3,4,-1
"Lipori, Dawn",1,7,5,3,2
"Lipori, Dawn",1,8,3,4,-1
"Lipori, Dawn",1,9,3,5,-2
"Lipori, Dawn",1,10,5,4,1
"Lipori, Dawn",1,11,4,4,0
"Lipori, Dawn",1,12,3,3,0
"Lipori, Dawn",1,13,4,4,0
"Lipori, Dawn",1,14,4,5,-1
"Lipori, Dawn",1,15,3,4,-1
"Lipori, Dawn",1,16,3,4,-1
"Lipori, Dawn",1,17,6,5,1
"Lipori, Dawn",1,18,4,3,1
"Brayton, Jenny",1,1,6,5,1
"Brayton, Jenny",1,2,5,4,1
"Brayton, Jenny",1,3,3,3,0
"Brayton, Jenny",1,4,5,4,1
"Brayton, Jenny",1,5,4,4,0
"Brayton, Jenny",1,6,6,4,2
"Brayton, Jenny",1,7,3,3,0
"Brayton, Jenny",1,8,4,4,0
"Brayton, Jenny",1,9,3,5,-2
"Brayton, Jenny",1,10,5,4,1
"Brayton, Jenny",1,11,4,4,0
"Brayton, Jenny",1,12,3,3,0
"Brayton, Jenny",1,13,3,4,-1
"Brayton, Jenny",1,14,5,5,0
"Brayton, Jenny",1,15,3,4,-1
"Brayton, Jenny",1,16,4,4,0
"Brayton, Jenny",1,17,4,5,-1
"Brayton, Jenny",1,18,6,3,3
"Parker, Laura",1,1,6,5,1
"Parker, Laura",1,2,6,4,2
"Parker, Laura",1,3,4,3,1
"Parker, Laura",1,4,4,4,0
"Parker, Laura",1,5,4,4,0
"Parker, Laura",1,6,5,4,1
"Parker, Laura",1,7,2,3,-1
"Parker, Laura",1,8,4,4,0
"Parker, Laura",1,9,4,5,-1
"Parker, Laura",1,10,4,4,0
"Parker, Laura",1,11,4,4,0
"Parker, Laura",1,12,3,3,0
"Parker, Laura",1,13,3,4,-1
"Parker, Laura",1,14,5,5,0
"Parker, Laura",1,15,4,4,0
"Parker, Laura",1,16,4,4,0
"Parker, Laura",1,17,6,5,1
"Parker, Laura",1,18,4,3,1
"Arevalo, Emelyn",1,1,5,5,0
"Arevalo, Emelyn",1,2,5,4,1
"Arevalo, Emelyn",1,3,5,3,2
"Arevalo, Emelyn",1,4,4,4,0
"Arevalo, Emelyn",1,5,5,4,1
"Arevalo, Emelyn",1,6,5,4,1
"Arevalo, Emelyn",1,7,2,3,-1
"Arevalo, Emelyn",1,8,4,4,0
"Arevalo, Emelyn",1,9,3,5,-2
"Arevalo, Emelyn",1,10,7,4,3
"Arevalo, Emelyn",1,11,3,4,-1
"Arevalo, Emelyn",1,12,4,3,1
"Arevalo, Emelyn",1,13,3,4,-1
"Arevalo, Emelyn",1,14,6,5,1
"Arevalo, Emelyn",1,15,3,4,-1
"Arevalo, Emelyn",1,16,4,4,0
"Arevalo, Emelyn",1,17,5,5,0
"Arevalo, Emelyn",1,18,4,3,1
"Daniel, Joanne",1,1,5,5,0
"Daniel, Joanne",1,2,5,4,1
"Daniel, Joanne",1,3,4,3,1
"Daniel, Joanne",1,4,4,4,0
"Daniel, Joanne",1,5,4,4,0
"Daniel, Joanne",1,6,7,4,3
"Daniel, Joanne",1,7,3,3,0
"Daniel, Joanne",1,8,4,4,0
"Daniel, Joanne",1,9,5,5,0
"Daniel, Joanne",1,10,4,4,0
"Daniel, Joanne",1,11,3,4,-1
"Daniel, Joanne",1,12,3,3,0
"Daniel, Joanne",1,13,6,4,2
"Daniel, Joanne",1,14,5,5,0
"Daniel, Joanne",1,15,5,4,1
"Daniel, Joanne",1,16,5,4,1
"Daniel, Joanne",1,17,6,5,1
"Daniel, Joanne",1,18,4,3,1
"Espinoza, Vilda",1,1,5,5,0
"Espinoza, Vilda",1,2,3,4,-1
"Espinoza, Vilda",1,3,3,3,0
"Espinoza, Vilda",1,4,5,4,1
"Espinoza, Vilda",1,5,4,4,0
"Espinoza, Vilda",1,6,3,4,-1
"Espinoza, Vilda",1,7,3,3,0
"Espinoza, Vilda",1,8,4,4,0
"Espinoza, Vilda",1,9,4,5,-1
"Espinoza, Vilda",1,10,4,4,0
"Espinoza, Vilda",1,11,5,4,1
"Espinoza, Vilda",1,12,3,3,0
"Espinoza, Vilda",1,13,5,4,1
"Espinoza, Vilda",1,14,8,5,3
"Espinoza, Vilda",1,15,3,4,-1
"Espinoza, Vilda",1,16,4,4,0
"Espinoza, Vilda",1,17,6,5,1
"Espinoza, Vilda",1,18,4,3,1
"Tedeski, Leilani",2,1,6,5,1
"Tedeski, Leilani",2,2,4,4,0
"Tedeski, Leilani",2,3,3,3,0
"Tedeski, Leilani",2,4,4,4,0
"Tedeski, Leilani",2,5,4,4,0
"Tedeski, Leilani",2,6,4,4,0
"Tedeski, Leilani",2,7,2,3,-1
"Tedeski, Leilani",2,8,3,4,-1
"Tedeski, Leilani",2,9,3,5,-2
"Tedeski, Leilani",2,10,3,4,-1
"Tedeski, Leilani",2,11,3,4,-1
"Tedeski, Leilani",2,12,3,3,0
"Tedeski, Leilani",2,13,3,4,-1
"Tedeski, Leilani",2,14,5,5,0
"Tedeski, Leilani",2,15,4,4,0
"Tedeski, Leilani",2,16,5,4,1
"Tedeski, Leilani",2,17,5,5,0
"Tedeski, Leilani",2,18,3,3,0
"Hewins, Jessica",2,1,4,5,-1
"Hewins, Jessica",2,2,4,4,0
"Hewins, Jessica",2,3,4,3,1
"Hewins, Jessica",2,4,5,4,1
"Hewins, Jessica",2,5,4,4,0
"Hewins, Jessica",2,6,4,4,0
"Hewins, Jessica",2,7,3,3,0
"Hewins, Jessica",2,8,3,4,-1
"Hewins, Jessica",2,9,4,5,-1
"Hewins, Jessica",2,10,4,4,0
"Hewins, Jessica",2,11,3,4,-1
"Hewins, Jessica",2,12,3,3,0
"Hewins, Jessica",2,13,3,4,-1
"Hewins, Jessica",2,14,4,5,-1
"Hewins, Jessica",2,15,3,4,-1
"Hewins, Jessica",2,16,4,4,0
"Hewins, Jessica",2,17,5,5,0
"Hewins, Jessica",2,18,3,3,0
"Reid, Jo",2,1,5,5,0
"Reid, Jo",2,2,4,4,0
"Reid, Jo",2,3,3,3,0
"Reid, Jo",2,4,6,4,2
"Reid, Jo",2,5,4,4,0
"Reid, Jo",2,6,5,4,1
"Reid, Jo",2,7,3,3,0
"Reid, Jo",2,8,5,4,1
"Reid, Jo",2,9,4,5,-1
"Reid, Jo",2,10,3,4,-1
"Reid, Jo",2,11,4,4,0
"Reid, Jo",2,12,4,3,1
"Reid, Jo",2,13,5,4,1
"Reid, Jo",2,14,5,5,0
"Reid, Jo",2,15,3,4,-1
"Reid, Jo",2,16,4,4,0
"Reid, Jo",2,17,5,5,0
"Reid, Jo",2,18,4,3,1
"Lipori, Dawn",2,1,6,5,1
"Lipori, Dawn",2,2,5,4,1
"Lipori, Dawn",2,3,5,3,2
"Lipori, Dawn",2,4,5,4,1
"Lipori, Dawn",2,5,3,4,-1
"Lipori, Dawn",2,6,3,4,-1
"Lipori, Dawn",2,7,2,3,-1
"Lipori, Dawn",2,8,5,4,1
"Lipori, Dawn",2,9,4,5,-1
"Lipori, Dawn",2,10,3,4,-1
"Lipori, Dawn",2,11,3,4,-1
"Lipori, Dawn",2,12,3,3,0
"Lipori, Dawn",2,13,3,4,-1
"Lipori, Dawn",2,14,5,5,0
"Lipori, Dawn",2,15,4,4,0
"Lipori, Dawn",2,16,3,4,-1
"Lipori, Dawn",2,17,5,5,0
"Lipori, Dawn",2,18,3,3,0
"Brayton, Jenny",2,1,6,5,1
"Brayton, Jenny",2,2,4,4,0
"Brayton, Jenny",2,3,4,3,1
"Brayton, Jenny",2,4,5,4,1
"Brayton, Jenny",2,5,4,4,0
"Brayton, Jenny",2,6,4,4,0
"Brayton, Jenny",2,7,3,3,0
"Brayton, Jenny",2,8,3,4,-1
"Brayton, Jenny",2,9,4,5,-1
"Brayton, Jenny",2,10,4,4,0
"Brayton, Jenny",2,11,5,4,1
"Brayton, Jenny",2,12,3,3,0
"Brayton, Jenny",2,13,5,4,1
"Brayton, Jenny",2,14,4,5,-1
"Brayton, Jenny",2,15,3,4,-1
"Brayton, Jenny",2,16,3,4,-1
"Brayton, Jenny",2,17,5,5,0
"Brayton, Jenny",2,18,3,3,0
"Parker, Laura",2,1,6,5,1
"Parker, Laura",2,2,3,4,-1
"Parker, Laura",2,3,4,3,1
"Parker, Laura",2,4,4,4,0
"Parker, Laura",2,5,4,4,0
"Parker, Laura",2,6,5,4,1
"Parker, Laura",2,7,3,3,0
"Parker, Laura",2,8,3,4,-1
"Parker, Laura",2,9,4,5,-1
"Parker, Laura",2,10,4,4,0
"Parker, Laura",2,11,5,4,1
"Parker, Laura",2,12,3,3,0
"Parker, Laura",2,13,5,4,1
"Parker, Laura",2,14,5,5,0
"Parker, Laura",2,15,4,4,0
"Parker, Laura",2,16,4,4,0
"Parker, Laura",2,17,5,5,0
"Parker, Laura",2,18,3,3,0
"Arevalo, Emelyn",2,1,4,5,-1
"Arevalo, Emelyn",2,2,4,4,0
"Arevalo, Emelyn",2,3,5,3,2
"Arevalo, Emelyn",2,4,5,4,1
"Arevalo, Emelyn",2,5,4,4,0
"Arevalo, Emelyn",2,6,4,4,0
"Arevalo, Emelyn",2,7,3,3,0
"Arevalo, Emelyn",2,8,3,4,-1
"Arevalo, Emelyn",2,9,3,5,-2
"Arevalo, Emelyn",2,10,4,4,0
"Arevalo, Emelyn",2,11,4,4,0
"Arevalo, Emelyn",2,12,3,3,0
"Arevalo, Emelyn",2,13,4,4,0
"Arevalo, Emelyn",2,14,6,5,1
"Arevalo, Emelyn",2,15,4,4,0
"Arevalo, Emelyn",2,16,5,4,1
"Arevalo, Emelyn",2,17,5,5,0
"Arevalo, Emelyn",2,18,3,3,0
"Daniel, Joanne",2,1,6,5,1
"Daniel, Joanne",2,2,4,4,0
"Daniel, Joanne",2,3,3,3,0
"Daniel, Joanne",2,4,5,4,1
"Daniel, Joanne",2,5,4,4,0
"Daniel, Joanne",2,6,4,4,0
"Daniel, Joanne",2,7,6,3,3
"Daniel, Joanne",2,8,3,4,-1
"Daniel, Joanne",2,9,4,5,-1
"Daniel, Joanne",2,10,4,4,0
"Daniel, Joanne",2,11,3,4,-1
"Daniel, Joanne",2,12,4,3,1
"Daniel, Joanne",2,13,5,4,1
"Daniel, Joanne",2,14,5,5,0
"Daniel, Joanne",2,15,4,4,0
"Daniel, Joanne",2,16,3,4,-1
"Daniel, Joanne",2,17,5,5,0
"Daniel, Joanne",2,18,4,3,1
"Espinoza, Vilda",2,1,6,5,1
"Espinoza, Vilda",2,2,4,4,0
"Espinoza, Vilda",2,3,6,3,3
"Espinoza, Vilda",2,4,6,4,2
"Espinoza, Vilda",2,5,4,4,0
"Espinoza, Vilda",2,6,5,4,1
"Espinoza, Vilda",2,7,3,3,0
"Espinoza, Vilda",2,8,5,4,1
"Espinoza, Vilda",2,9,5,5,0
"Espinoza, Vilda",2,10,5,4,1
"Espinoza, Vilda",2,11,4,4,0
"Espinoza, Vilda",2,12,4,3,1
"Espinoza, Vilda",2,13,4,4,0
"Espinoza, Vilda",2,14,6,5,1
"Espinoza, Vilda",2,15,4,4,0
"Espinoza, Vilda",2,16,4,4,0
"Espinoza, Vilda",2,17,6,5,1
"Espinoza, Vilda",2,18,4,3,1
